epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1551.91,0.22962,0.19035,0.82829,0.98427,1,0.995,0.97962,0.18995,0.1444,0.74818,0.000226497,0.000226497,0.000226497
87,1568.74,0.22406,0.19321,0.81616,0.98465,1,0.995,0.97413,0.17412,0.13858,0.74588,0.000212349,0.000212349,0.000212349
88,1585.94,0.23678,0.18979,0.82442,0.98443,1,0.995,0.96984,0.17908,0.13929,0.74612,0.000198202,0.000198202,0.000198202
89,1602.65,0.2214,0.18489,0.82191,0.98415,1,0.995,0.96861,0.18401,0.14095,0.74653,0.000184055,0.000184055,0.000184055
90,1620.33,0.23218,0.20316,0.8205,0.98376,1,0.995,0.96832,0.19355,0.14524,0.74911,0.000169908,0.000169908,0.000169908
91,1637.58,0.20523,0.18803,0.80077,0.9842,1,0.995,0.96965,0.19128,0.14002,0.74879,0.000155761,0.000155761,0.000155761
92,1654.27,0.20058,0.17484,0.79839,0.98469,1,0.995,0.96829,0.1897,0.1402,0.74774,0.000141614,0.000141614,0.000141614
93,1670.89,0.20025,0.16998,0.78265,0.98619,1,0.995,0.96869,0.18743,0.13981,0.7474,0.000127467,0.000127467,0.000127467
94,1687.89,0.20497,0.1749,0.77774,0.98854,1,0.995,0.96448,0.18521,0.14192,0.74741,0.00011332,0.00011332,0.00011332
95,1704.88,0.19427,0.17531,0.81264,0.98888,1,0.995,0.96762,0.19038,0.14434,0.74849,9.91726e-05,9.91726e-05,9.91726e-05
96,1721.55,0.19554,0.17102,0.79109,0.98968,1,0.995,0.96975,0.18901,0.14454,0.74918,8.50255e-05,8.50255e-05,8.50255e-05
97,1738.58,0.19146,0.1699,0.7945,0.98975,1,0.995,0.96856,0.18711,0.1438,0.74925,7.08784e-05,7.08784e-05,7.08784e-05
98,1755.46,0.18698,0.16177,0.79014,0.98958,1,0.995,0.9707,0.18233,0.14201,0.74967,5.67313e-05,5.67313e-05,5.67313e-05
99,1771.87,0.18785,0.161,0.80249,0.98945,1,0.995,0.97359,0.17918,0.14089,0.7499,4.25842e-05,4.25842e-05,4.25842e-05
100,1788.64,0.18514,0.15894,0.78644,0.98915,1,0.995,0.97233,0.17854,0.13928,0.74989,2.84371e-05,2.84371e-05,2.84371e-05
